               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11012,            0.036536,            0.026627,           0.0036332,             0.68485,            0.010529,           0.0024697,            0.089117,            0.026728,            0.019647,              0.0031,              0.0031,              0.0721
                   1,            0.081844,            0.039485,            0.017312,             0.59349,            0.095455,            0.079594,            0.020061,            0.084322,            0.027842,           0.0068632,           0.0061961,           0.0061961,            0.043196
                   2,            0.075738,            0.036677,           0.0097714,             0.19425,              0.3036,             0.12788,            0.040682,             0.08865,            0.022978,           0.0050879,           0.0091865,           0.0091865,            0.014186
                   3,            0.073545,            0.035339,           0.0070591,              0.2508,             0.39186,             0.21404,            0.062588,            0.072314,             0.02357,           0.0035431,            0.009505,            0.009505,            0.009505
                   4,            0.067878,            0.033606,           0.0060887,             0.27638,             0.37879,             0.27978,            0.080911,            0.067199,            0.021558,           0.0035677,            0.009505,            0.009505,            0.009505
                   5,            0.063181,            0.034273,           0.0054551,             0.44566,             0.51996,             0.37017,             0.11185,            0.062374,            0.022505,           0.0037242,             0.00934,             0.00934,             0.00934
                   6,            0.057856,            0.033628,           0.0046142,             0.51452,             0.47474,             0.42329,             0.13379,            0.060446,            0.018158,           0.0020715,            0.009175,            0.009175,            0.009175
                   7,            0.057005,            0.033721,           0.0042533,             0.61434,             0.50124,             0.50703,             0.15634,            0.059159,            0.016887,           0.0020806,             0.00901,             0.00901,             0.00901
                   8,            0.054636,            0.032523,           0.0036054,             0.53603,             0.60544,             0.53429,             0.16573,             0.05817,             0.01736,           0.0019356,            0.008845,            0.008845,            0.008845
                   9,            0.054044,            0.033248,           0.0034808,             0.64969,             0.45814,             0.51085,             0.16188,            0.060429,            0.016992,           0.0021904,             0.00868,             0.00868,             0.00868
                  10,            0.052286,            0.032983,            0.003257,             0.58155,             0.53944,             0.48203,             0.16699,            0.057493,            0.016963,           0.0020446,            0.008515,            0.008515,            0.008515
                  11,            0.053207,            0.031863,           0.0029543,             0.55872,             0.52008,             0.50299,             0.16021,            0.059982,            0.016866,            0.001953,             0.00835,             0.00835,             0.00835
                  12,            0.051354,            0.030914,           0.0034339,             0.75207,             0.47724,             0.52751,             0.17647,            0.057773,            0.017249,           0.0022779,            0.008185,            0.008185,            0.008185
                  13,            0.051019,            0.031565,            0.002563,             0.60424,             0.56364,             0.56838,             0.18421,            0.058974,            0.016223,           0.0018145,             0.00802,             0.00802,             0.00802
                  14,             0.04954,            0.031159,           0.0025515,             0.60125,             0.51932,             0.56445,             0.17986,            0.057296,            0.016442,           0.0017451,            0.007855,            0.007855,            0.007855
                  15,            0.048524,            0.030025,           0.0030257,             0.67859,              0.4875,             0.51985,             0.17854,            0.057832,            0.017089,           0.0015798,             0.00769,             0.00769,             0.00769
                  16,            0.046802,            0.030224,            0.002607,             0.64422,             0.57538,             0.61461,             0.20042,            0.056754,            0.016042,            0.001767,            0.007525,            0.007525,            0.007525
                  17,            0.048376,            0.030051,            0.002623,             0.67374,             0.55511,             0.59611,             0.22476,            0.056703,            0.016384,           0.0020193,             0.00736,             0.00736,             0.00736
                  18,            0.046687,            0.030118,           0.0021837,             0.67517,             0.62936,              0.6055,             0.19589,            0.058103,            0.016729,           0.0026568,            0.007195,            0.007195,            0.007195
                  19,            0.047477,            0.030582,            0.002047,             0.68044,             0.58866,             0.63693,             0.22741,            0.059781,            0.016276,           0.0025241,             0.00703,             0.00703,             0.00703
                  20,            0.044921,            0.030027,           0.0026195,             0.56391,             0.59034,             0.60764,             0.20724,            0.057728,            0.016513,           0.0027866,            0.006865,            0.006865,            0.006865
                  21,            0.045625,            0.028183,           0.0025075,             0.63927,              0.5937,             0.61982,             0.21576,            0.057118,            0.016473,           0.0019788,              0.0067,              0.0067,              0.0067
                  22,            0.044484,            0.030219,           0.0022568,             0.57202,             0.61523,             0.61552,             0.20725,            0.059305,            0.016938,           0.0018555,            0.006535,            0.006535,            0.006535
                  23,            0.043219,            0.027781,           0.0022797,             0.67706,             0.60847,             0.60272,             0.21128,            0.057073,            0.016425,           0.0014651,             0.00637,             0.00637,             0.00637
                  24,            0.043914,            0.028054,           0.0019848,              0.6425,             0.63201,             0.63026,             0.21299,            0.057913,            0.016843,           0.0013645,            0.006205,            0.006205,            0.006205
                  25,            0.044007,            0.029446,           0.0025126,             0.61708,             0.57065,             0.59939,             0.20261,            0.057602,            0.016821,           0.0013432,             0.00604,             0.00604,             0.00604
                  26,            0.042144,            0.027475,            0.002217,             0.61854,              0.6339,             0.62494,             0.20351,            0.058661,            0.016918,           0.0015616,            0.005875,            0.005875,            0.005875
                  27,            0.042194,            0.028109,           0.0016392,             0.61526,             0.60341,             0.60077,             0.21356,            0.058478,            0.016892,           0.0011815,             0.00571,             0.00571,             0.00571
                  28,            0.041331,             0.02799,           0.0021353,             0.65162,              0.6338,             0.61511,             0.21492,            0.061155,            0.016863,           0.0016454,            0.005545,            0.005545,            0.005545
                  29,            0.041312,             0.02782,           0.0022888,               0.619,             0.62885,             0.60719,             0.22237,            0.059493,            0.017015,           0.0012865,             0.00538,             0.00538,             0.00538
                  30,            0.039534,            0.028291,           0.0018818,             0.66024,             0.66326,             0.62827,             0.22781,            0.059177,            0.017123,           0.0015597,            0.005215,            0.005215,            0.005215
                  31,            0.040975,            0.026415,           0.0021226,              0.6268,             0.66871,             0.63084,             0.21439,            0.058598,            0.017206,           0.0020438,             0.00505,             0.00505,             0.00505
                  32,            0.040283,            0.026578,           0.0016832,             0.65901,              0.6659,             0.61913,             0.21638,            0.059411,            0.017231,           0.0025298,            0.004885,            0.004885,            0.004885
                  33,            0.039464,            0.026513,           0.0017661,             0.69918,             0.61805,             0.62686,             0.22214,            0.058983,            0.017073,           0.0022352,             0.00472,             0.00472,             0.00472
                  34,            0.038115,            0.025843,           0.0017148,             0.68633,             0.67268,             0.62906,             0.21708,             0.05985,            0.017509,           0.0027694,            0.004555,            0.004555,            0.004555
                  35,            0.037381,            0.026776,           0.0016982,             0.61405,              0.6638,             0.57238,             0.19716,            0.060172,            0.018022,           0.0019392,             0.00439,             0.00439,             0.00439
                  36,            0.039097,            0.025263,           0.0017545,             0.61113,             0.67633,             0.61627,             0.21591,            0.060997,            0.017807,           0.0020761,            0.004225,            0.004225,            0.004225
                  37,            0.037711,            0.025349,           0.0012384,             0.63054,             0.68819,             0.61077,             0.19223,            0.058268,             0.01809,           0.0012936,             0.00406,             0.00406,             0.00406
                  38,            0.036782,             0.02411,           0.0014939,             0.60889,             0.64553,             0.58289,             0.21511,            0.059976,            0.018257,           0.0016018,            0.003895,            0.003895,            0.003895
                  39,            0.036395,            0.025528,            0.001488,             0.59993,              0.6294,             0.56836,             0.20355,             0.06052,            0.018075,           0.0022138,             0.00373,             0.00373,             0.00373
                  40,            0.036549,            0.025236,           0.0015848,             0.61759,             0.65682,             0.58181,             0.19431,            0.060535,            0.018423,           0.0022791,            0.003565,            0.003565,            0.003565
                  41,            0.035227,            0.024222,           0.0014599,             0.60688,             0.63296,             0.57981,             0.20106,             0.06252,            0.018518,           0.0017092,              0.0034,              0.0034,              0.0034
                  42,            0.035213,            0.024478,           0.0015639,             0.66642,             0.63466,             0.53799,             0.18473,            0.061138,            0.019068,           0.0012809,            0.003235,            0.003235,            0.003235
                  43,            0.035329,            0.023715,           0.0014357,             0.64226,             0.66591,             0.58944,             0.19864,            0.060593,            0.019119,           0.0019647,             0.00307,             0.00307,             0.00307
                  44,            0.034991,            0.024061,           0.0014502,             0.70749,             0.68233,             0.60872,             0.21101,            0.058731,            0.018733,           0.0021772,            0.002905,            0.002905,            0.002905
                  45,            0.034537,            0.023507,           0.0012072,             0.64801,             0.64574,             0.59105,             0.21404,            0.060663,            0.018932,           0.0031011,             0.00274,             0.00274,             0.00274
                  46,             0.03315,            0.023338,           0.0014324,             0.66053,             0.69583,             0.60854,             0.21071,             0.06128,            0.018861,           0.0024669,            0.002575,            0.002575,            0.002575
                  47,            0.033653,            0.023824,           0.0012311,             0.69383,             0.69381,             0.61745,             0.21399,            0.059866,            0.019101,           0.0020991,             0.00241,             0.00241,             0.00241
                  48,            0.033192,            0.023053,           0.0012223,             0.69437,              0.6225,             0.58601,             0.21049,            0.060132,            0.019042,           0.0024242,            0.002245,            0.002245,            0.002245
                  49,            0.033309,            0.024514,           0.0014361,             0.64549,             0.69451,             0.60495,             0.20995,            0.060093,            0.019082,           0.0034211,             0.00208,             0.00208,             0.00208
                  50,             0.03315,            0.022477,           0.0012781,              0.6343,             0.65682,             0.57485,             0.20147,            0.060262,            0.019313,           0.0033566,            0.001915,            0.001915,            0.001915
                  51,            0.032202,            0.022567,           0.0010719,             0.66555,             0.70381,             0.61873,             0.20702,            0.059914,            0.019491,             0.00274,             0.00175,             0.00175,             0.00175
                  52,            0.031902,            0.022035,           0.0011227,             0.69387,             0.65249,             0.58216,             0.20504,            0.060709,            0.019852,           0.0028512,            0.001585,            0.001585,            0.001585
                  53,            0.031486,            0.021448,          0.00084818,             0.65792,             0.69261,              0.5954,              0.2018,            0.061175,            0.020317,           0.0027375,             0.00142,             0.00142,             0.00142
                  54,            0.031324,            0.021765,          0.00085933,             0.66588,             0.68337,             0.59214,             0.20775,              0.0598,            0.020385,           0.0024682,            0.001255,            0.001255,            0.001255
                  55,            0.031144,             0.02243,            0.001232,              0.6558,             0.68202,             0.58572,             0.21569,            0.059671,            0.020466,           0.0023157,             0.00109,             0.00109,             0.00109
                  56,            0.030439,            0.021762,           0.0010596,             0.64302,             0.67311,             0.56863,              0.2026,            0.060405,              0.0206,           0.0024426,            0.000925,            0.000925,            0.000925
                  57,            0.030883,             0.02271,           0.0011723,             0.66154,             0.69261,             0.57894,             0.20838,            0.059957,             0.02074,           0.0025264,             0.00076,             0.00076,             0.00076
                  58,            0.030307,            0.022023,          0.00094397,             0.65071,             0.67632,             0.57694,             0.20306,            0.060457,            0.020876,           0.0024825,            0.000595,            0.000595,            0.000595
                  59,            0.029474,            0.020973,          0.00098994,             0.64346,             0.67311,             0.57767,             0.20773,            0.060727,            0.021109,           0.0023771,             0.00043,             0.00043,             0.00043
